timestamp,symbol,instrument_key,instrument_class,status,rows_received,rows_valid,rows_saved,rows_existing,first_session,last_session,conventions,duplicates,weekend_violations,ohlc_violations,refetch_compared,refetch_identical,error_type,error_message,elapsed_seconds,attempt
2026-09-07T14:27:59,63MOONS.NS,NSE_EQ|INE111B01023,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,5.45,1
2026-09-07T14:27:59,5PAISA.NS,NSE_EQ|INE618L01018,nse_equity,SUCCESS,2182,2182,2172,10,2017-11-16,2026-09-07,03:45,0,0,0,10,10,,,5.46,1
2026-09-07T14:27:59,3MINDIA.NS,NSE_EQ|INE470A01017,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,5.46,1
2026-09-07T14:28:03,AARNAV.NS,NSE_EQ|INE750R01016,nse_equity,SUCCESS,131,131,121,10,2026-02-25,2026-09-07,03:45,0,0,0,10,10,,,9.74,1
2026-09-07T14:28:04,3BBLACKBIO.NS,NSE_EQ|INE994E01018,nse_equity,SUCCESS,98,98,88,10,2026-04-20,2026-09-07,03:45,0,0,0,10,10,,,10.77,1
2026-09-07T14:28:05,AADHARHFC.NS,NSE_EQ|INE883F01010,nse_equity,SUCCESS,576,576,566,10,2024-05-15,2026-09-07,03:45,0,0,0,10,10,,,11.24,1
2026-09-07T14:28:05,20MICRONS.NS,NSE_EQ|INE144J01027,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,11.53,1
2026-09-07T14:28:06,3PLAND.NS,NSE_EQ|INE105C01023,nse_equity,SUCCESS,2346,2346,2336,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,12.52,1
2026-09-07T14:28:06,AARON.NS,NSE_EQ|INE721Z01010,nse_equity,SUCCESS,1870,1870,1860,10,2018-09-03,2026-09-07,03:45,0,0,0,10,10,,,12.52,1
2026-09-07T14:28:06,360ONE.NS,NSE_EQ|INE466L01038,nse_equity,SUCCESS,1729,1729,1719,10,2019-09-19,2026-09-07,03:45,0,0,0,10,10,,,12.52,1
2026-09-07T14:28:06,21STCENMGM.NS,NSE_EQ|INE253B01015,nse_equity,SUCCESS,2118,2118,2108,10,2018-01-11,2026-09-07,03:45,0,0,0,10,10,,,12.52,1
2026-09-07T14:28:06,AAKASH.NS,NSE_EQ|INE087Z01024,nse_equity,SUCCESS,1474,1474,1464,10,2020-09-29,2026-09-07,03:45,0,0,0,10,10,,,12.52,1
2026-09-07T14:28:08,AAREYDRUGS.NS,NSE_EQ|INE198H01019,nse_equity,SUCCESS,1262,1262,1252,10,2021-08-06,2026-09-07,03:45,0,0,0,10,10,,,13.96,1
2026-09-07T14:28:08,AASTHA.NS,NSE_EQ|INE2FMX01012,nse_equity,SUCCESS,46,46,36,10,2026-07-06,2026-09-07,03:45,0,0,0,10,10,,,14.35,1
2026-09-07T14:28:08,AAATECH.NS,NSE_EQ|INE0D0U01013,nse_equity,SUCCESS,1322,1322,1312,10,2020-10-13,2026-09-07,03:45,0,0,0,10,10,,,14.50,1
2026-09-07T14:28:08,AARTIPHARM.NS,NSE_EQ|INE0LRU01027,nse_equity,SUCCESS,912,912,902,10,2017-06-22,2026-09-07,03:45,0,0,0,10,10,,,14.50,1
2026-09-07T14:28:11,A2ZINFRA.NS,NSE_EQ|INE619I01012,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,17.16,1
