symbol,prediction_session,target_session,close_D,close_D1,high_D1,low_D1,open_D1,volume_D,volume_D1,return,ratio,session_index,total_sessions,mean_close_20_before,mean_close_20_after,pre_distinct_closes_20,pre_zero_volume_bars_20,provenance,corporate_action,series_change,economically_real,data_error,listing_boundary,classification,evidence
PRIVISCL.NS,2020-08-20,2020-08-21,0.15,553.35,553.35,500.65,527.0,452355000.0,201697.0,3688,3689,976,2477,0.12499999999999996,561.2119047619046,2,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,YES,NO,SYNTHETIC/BAD_BAR,pre-segment frozen: only 2 distinct closes across 20 sessions
RAINBOW.NS,2019-06-04,2022-05-10,0.75,450.2,517.9,421.65,510.0,5016.0,17359525.0,599.267,600.267,39,1115,0.8850000000000001,469.1214285714285,5,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),YES,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,SERIES_CHANGE,"persistent splice 0.89->469.12 with volume moving inversely (5,016->17,359,525) — adjustment applied to one segment only"
MALLCOM.NS,2017-02-23,2022-02-02,1.85,913.2,1079.85,901.25,949.9,13830.0,6369.0,492.622,493.622,118,1258,1.92,839.1452380952379,14,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),UNPROVEN,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,UNPROVEN,persistent splice 1.92->839.15; no volume or liveness signature to attribute a cause
TARC.NS,2018-11-05,2020-12-18,0.05,22.05,22.05,20.05,21.0,357185.0,1382377.0,440,441,8,1426,0.049999999999999996,23.58571428571429,1,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,YES,LISTING/RELISTING,session 8 of 1426 — start-of-series boundary
KAMOPAINTS.NS,2017-12-04,2023-01-24,0.05,18.91,18.91,17.11,18.01,0.0,6699390.0,377.2,378.2,203,1100,0.04550000000000002,16.073809523809523,3,1,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,YES,NO,SYNTHETIC/BAD_BAR,zero-volume placeholder bar at the transition
ABSLLIQUID.NS,2017-05-26,2023-03-16,3.85,1000.01,1000.01,999.99,1000.01,89063.0,16.0,258.743,259.743,67,910,4.3725000000000005,1000.0014285714282,9,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),YES,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,SERIES_CHANGE,"persistent splice 4.37->1000.00 with volume moving inversely (89,063->16) — adjustment applied to one segment only"
VINEETLAB.NS,2018-01-30,2018-02-07,9.0,1917.15,1973.9,1900.1,1960.0,0.0,832.0,212.017,213.017,311,1687,1858.5399999999997,1966.3500000000004,20,1,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,YES,NO,SYNTHETIC/BAD_BAR,zero-volume placeholder bar at the transition
VINEETLAB.NS,2016-12-30,2017-01-02,9.0,1180.15,1204.0,1160.0,1160.0,0.0,2054.0,130.128,131.128,79,1687,1155.225,1245.6309523809523,20,1,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,YES,NO,SYNTHETIC/BAD_BAR,zero-volume placeholder bar at the transition
GOYALALUM.NS,2016-09-12,2022-11-04,1.5,143.05,148.6,126.3,144.8,2950.0,26500.0,94.3667,95.3667,2,934,1.55,155.62142857142857,2,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,YES,LISTING/RELISTING,session 2 of 934 — start-of-series boundary
ORTINGLOBE.NS,2017-11-21,2021-03-30,0.5,32.5,32.5,29.45,31.0,10650.0,10661.0,64,65,7,1357,0.5083333333333334,28.383333333333333,3,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,YES,LISTING/RELISTING,session 7 of 1357 — start-of-series boundary
