symbol,prediction_session,target_session,exclusion_reason
21STCENMGM.NS,2019-07-25,2019-07-29,NOT_NEXT_SESSION(missed=1)
21STCENMGM.NS,2019-08-20,2019-08-22,NOT_NEXT_SESSION(missed=1)
21STCENMGM.NS,2019-09-04,2019-09-06,NOT_NEXT_SESSION(missed=1)
21STCENMGM.NS,2019-09-11,2019-09-16,NOT_NEXT_SESSION(missed=2)
21STCENMGM.NS,2019-09-16,2019-09-18,NOT_NEXT_SESSION(missed=1)
21STCENMGM.NS,2019-10-11,2019-10-15,NOT_NEXT_SESSION(missed=1)
21STCENMGM.NS,2019-10-27,2019-10-30,NOT_NEXT_SESSION(missed=1)
21STCENMGM.NS,2019-12-11,2019-12-16,NOT_NEXT_SESSION(missed=2)
21STCENMGM.NS,2019-12-31,2020-01-02,NOT_NEXT_SESSION(missed=1)
21STCENMGM.NS,2020-02-03,2020-02-05,NOT_NEXT_SESSION(missed=1)
21STCENMGM.NS,2020-02-19,2020-02-24,NOT_NEXT_SESSION(missed=1)
21STCENMGM.NS,2020-03-09,2020-03-12,NOT_NEXT_SESSION(missed=1)
21STCENMGM.NS,2020-03-20,2020-03-24,NOT_NEXT_SESSION(missed=1)
21STCENMGM.NS,2020-03-25,2020-03-27,NOT_NEXT_SESSION(missed=1)
21STCENMGM.NS,2020-04-27,2020-04-29,NOT_NEXT_SESSION(missed=1)
21STCENMGM.NS,2020-11-05,2020-11-09,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2017-11-13,2017-11-15,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2018-01-01,2018-01-08,NOT_NEXT_SESSION(missed=4)
3PLAND.NS,2018-01-08,2018-01-15,NOT_NEXT_SESSION(missed=4)
3PLAND.NS,2018-08-14,2018-08-20,NOT_NEXT_SESSION(missed=2)
3PLAND.NS,2018-08-21,2018-08-24,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2018-08-24,2018-08-28,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2018-09-04,2018-09-06,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2018-09-12,2018-09-18,NOT_NEXT_SESSION(missed=2)
3PLAND.NS,2018-09-26,2018-09-28,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2018-09-28,2018-10-04,NOT_NEXT_SESSION(missed=2)
3PLAND.NS,2018-10-04,2018-10-12,NOT_NEXT_SESSION(missed=5)
3PLAND.NS,2018-10-15,2018-10-25,NOT_NEXT_SESSION(missed=6)
3PLAND.NS,2018-10-26,2018-10-30,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2018-11-02,2018-11-06,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2018-11-13,2018-11-15,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2018-11-19,2018-11-27,NOT_NEXT_SESSION(missed=4)
3PLAND.NS,2018-11-29,2018-12-18,NOT_NEXT_SESSION(missed=12)
3PLAND.NS,2018-12-20,2018-12-24,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2019-02-18,2019-02-20,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2019-03-27,2019-03-29,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2019-04-10,2019-04-15,NOT_NEXT_SESSION(missed=2)
3PLAND.NS,2019-04-26,2019-05-02,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2019-05-03,2019-05-07,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2019-06-04,2019-06-07,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2019-06-24,2019-06-27,NOT_NEXT_SESSION(missed=2)
3PLAND.NS,2019-07-30,2019-08-01,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2019-08-02,2019-08-06,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2019-08-08,2019-08-13,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2019-08-27,2019-08-30,NOT_NEXT_SESSION(missed=2)
3PLAND.NS,2019-09-04,2019-09-06,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2019-09-06,2019-09-12,NOT_NEXT_SESSION(missed=2)
3PLAND.NS,2019-09-16,2019-09-18,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2019-09-19,2019-09-23,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2019-09-23,2019-09-25,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2019-09-26,2019-10-01,NOT_NEXT_SESSION(missed=2)
3PLAND.NS,2019-10-07,2019-10-11,NOT_NEXT_SESSION(missed=2)
3PLAND.NS,2019-10-11,2019-10-15,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2019-10-24,2019-10-30,NOT_NEXT_SESSION(missed=3)
3PLAND.NS,2019-12-09,2019-12-12,NOT_NEXT_SESSION(missed=2)
3PLAND.NS,2019-12-20,2019-12-26,NOT_NEXT_SESSION(missed=2)
3PLAND.NS,2020-01-16,2020-01-20,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2020-01-22,2020-01-24,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2020-04-13,2020-04-16,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2020-05-05,2020-05-07,NOT_NEXT_SESSION(missed=1)
3PLAND.NS,2020-05-11,2020-05-13,NOT_NEXT_SESSION(missed=1)
