symbol,prediction_session,target_session,calendar_gap_days,missed_market_sessions,classification
GOYALALUM.NS,2016-09-12,2022-11-04,2244,1519,LISTING_BOUNDARY
MEDANTA.NS,2017-01-24,2022-11-16,2122,1435,LISTING_BOUNDARY
RHL.NS,2017-09-06,2023-04-25,2057,1391,LISTING_BOUNDARY
AARTIPHARM.NS,2017-07-18,2023-01-30,2022,1369,LONG_SUSPENSION
PARASPETRO.NS,2017-07-24,2022-12-23,1978,1340,LONG_SUSPENSION
KAMOPAINTS.NS,2017-12-04,2023-01-24,1877,1272,LONG_SUSPENSION
MALLCOM.NS,2017-02-23,2022-02-02,1805,1220,LONG_SUSPENSION
KFINTECH.NS,2018-05-29,2022-12-29,1675,1135,LISTING_BOUNDARY
ROTO.NS,2018-04-13,2022-04-21,1469,993,LONG_SUSPENSION
INTLCONV.NS,2017-10-31,2021-09-16,1416,958,LONG_SUSPENSION
ASIANENE.NS,2018-02-06,2021-12-09,1402,947,LONG_SUSPENSION
BAJAJHCARE.NS,2018-02-01,2021-11-25,1393,940,LONG_SUSPENSION
STARHEALTH.NS,2018-02-19,2021-12-10,1390,940,LONG_SUSPENSION
POCL.NS,2019-06-24,2023-03-06,1351,919,LONG_SUSPENSION
DRCSYSTEMS.NS,2017-09-11,2021-03-10,1276,864,LONG_SUSPENSION
ORTINGLOBE.NS,2017-11-21,2021-03-30,1225,828,LISTING_BOUNDARY
DHRUV.NS,2018-07-31,2021-11-25,1213,817,LONG_SUSPENSION
RAJRATAN.NS,2017-02-08,2020-05-22,1199,806,LONG_SUSPENSION
AJOONI.NS,2018-02-19,2021-05-07,1173,792,LISTING_BOUNDARY
RAMAPHO.NS,2019-06-06,2022-08-05,1156,787,LONG_SUSPENSION
RAINBOW.NS,2019-06-04,2022-05-10,1071,725,LONG_SUSPENSION
ALIVUS.NS,2018-09-05,2021-08-06,1066,719,LISTING_BOUNDARY
LCCINFOTEC.NS,2018-07-02,2021-03-31,1003,677,LONG_SUSPENSION
HOMEFIRST.NS,2018-07-27,2021-02-03,922,620,LONG_SUSPENSION
MARINE.NS,2018-06-27,2020-12-02,889,599,LONG_SUSPENSION
SHIVAUM.NS,2017-05-24,2019-10-01,860,579,LONG_SUSPENSION
LATENTVIEW.NS,2019-08-05,2021-11-23,841,568,LONG_SUSPENSION
MEDPLUS.NS,2019-09-26,2021-12-23,819,556,LONG_SUSPENSION
UMESLTD.NS,2016-12-13,2019-02-11,790,534,LISTING_BOUNDARY
BECTORFOOD.NS,2018-11-09,2020-12-24,776,526,LONG_SUSPENSION
TARC.NS,2018-11-05,2020-12-18,774,524,LISTING_BOUNDARY
VINEETLAB.NS,2019-05-08,2021-06-15,769,521,LONG_SUSPENSION
PIXTRANS.NS,2020-04-21,2022-04-28,737,503,LONG_SUSPENSION
SURYODAY.NS,2019-04-16,2021-03-26,710,481,LONG_SUSPENSION
ANGELONE.NS,2018-11-28,2020-10-05,677,457,LONG_SUSPENSION
SEJALLTD.NS,2020-02-12,2021-12-13,670,453,LONG_SUSPENSION
ROUTE.NS,2018-11-30,2020-09-21,661,446,LONG_SUSPENSION
PVP.NS,2019-10-29,2021-07-22,632,431,LONG_SUSPENSION
ADL.NS,2019-02-27,2020-10-01,582,392,LONG_SUSPENSION
BBTCL.NS,2017-03-15,2018-10-15,579,391,LONG_SUSPENSION
HECPROJECT.NS,2019-11-14,2021-04-05,508,346,LONG_SUSPENSION
NARMADA.NS,2016-12-02,2018-04-19,503,340,LONG_SUSPENSION
INDIGOPNTS.NS,2019-10-18,2021-02-02,473,322,LONG_SUSPENSION
CCCL.NS,2023-05-24,2024-09-03,468,317,LONG_SUSPENSION
SONAMLTD.NS,2017-05-02,2018-06-14,408,278,LONG_SUSPENSION
