symbol,category,instrument_class,in_upstox_master,identity_class,legacy_rows,canonical_rows,intersection_sessions,legacy_only_sessions,canonical_only_sessions,replacement_pct,legacy_first,legacy_last,canonical_first,canonical_last
ALPHAGEO.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2602,2476,2430,172,46,93.39,2016-01-01,2026-07-06,2016-09-07,2026-09-08
BANKBEES.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2597,2478,2426,171,52,93.42,2016-01-01,2026-06-26,2016-09-06,2026-09-08
JUNIORBEES.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2597,2477,2425,172,52,93.38,2016-01-01,2026-06-26,2016-09-07,2026-09-08
LIQUIDBEES.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2597,2477,2425,172,52,93.38,2016-01-01,2026-06-26,2016-09-07,2026-09-08
NIFTYIETF.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2597,2477,2425,172,52,93.38,2016-01-01,2026-06-26,2016-09-07,2026-09-08
GOLDBEES.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2596,2476,2424,172,52,93.37,2016-01-01,2026-06-26,2016-09-07,2026-09-08
PNBGILTS.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2596,2477,2425,171,52,93.41,2016-01-01,2026-06-25,2016-09-07,2026-09-08
SETFGOLD.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2595,2476,2423,172,53,93.37,2016-01-01,2026-06-26,2016-09-07,2026-09-08
GOLDIAM.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2594,2477,2423,171,54,93.41,2016-01-01,2026-06-25,2016-09-07,2026-09-08
BALPHARMA.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2588,2477,2420,168,57,93.51,2016-01-01,2026-06-18,2016-09-07,2026-09-08
CPSEETF.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2588,2477,2420,168,57,93.51,2016-01-01,2026-06-18,2016-09-07,2026-09-08
MOM100.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2588,2477,2420,168,57,93.51,2016-01-01,2026-06-18,2016-09-07,2026-09-08
GOLD1.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2587,2476,2419,168,57,93.51,2016-01-01,2026-06-18,2016-09-07,2026-09-08
PSUBNKBEES.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2587,2477,2418,169,59,93.47,2016-01-04,2026-06-26,2016-09-07,2026-09-08
NIFTY1.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2585,2477,2419,166,58,93.58,2016-01-01,2026-06-17,2016-09-07,2026-09-08
BANKNIFTY1.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2583,2477,2416,167,61,93.53,2016-01-01,2026-06-18,2016-09-07,2026-09-08
GOLDBETA.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2583,2476,2415,168,61,93.5,2016-01-01,2026-06-18,2016-09-07,2026-09-08
SETFNIFBK.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2583,2477,2415,168,62,93.5,2016-01-01,2026-06-18,2016-09-07,2026-09-08
HDFCGOLD.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2582,2476,2415,167,61,93.53,2016-01-01,2026-06-25,2016-09-07,2026-09-08
MOM50.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2576,2477,2413,163,64,93.67,2016-01-01,2026-06-18,2016-09-07,2026-09-08
SETFNIF50.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2576,2477,2410,166,67,93.56,2016-01-01,2026-06-18,2016-09-07,2026-09-08
GOLDIETF.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2574,2476,2408,166,68,93.55,2016-01-01,2026-06-25,2016-09-07,2026-09-08
INFRABEES.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2568,2476,2404,164,72,93.61,2016-01-01,2026-06-18,2016-09-07,2026-09-08
NIFTYBEES.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2562,2478,2391,171,87,93.33,2016-01-01,2026-06-26,2016-09-06,2026-09-08
LICMFGOLD.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2561,2465,2397,164,68,93.6,2016-01-01,2026-06-18,2016-09-07,2026-09-08
MIDSELIETF.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2559,2477,2391,168,86,93.43,2016-01-01,2026-06-18,2016-09-07,2026-09-08
SETFNN50.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2552,2477,2405,147,72,94.24,2016-01-01,2026-06-18,2016-09-07,2026-09-08
CONSUMBEES.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2533,2447,2385,148,62,94.16,2016-01-04,2026-06-18,2016-09-07,2026-09-08
HDFCNIFTY.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2533,2477,2368,165,109,93.49,2016-01-01,2026-06-18,2016-09-07,2026-09-08
QGOLDHALF.NS,ETF_PENDING,etf_or_inav,True,in_upstox_master,2532,2476,2368,164,108,93.52,2016-01-01,2026-06-18,2016-09-07,2026-09-08
